,Topic 0,Topic 1,Topic 2
Word 0,amp,tax,great
Word 1,obama,senat,today
Word 2,sen,would,day
Word 3,presid,new,thank
Word 4,job,amp,make
Word 5,today,job,go
Word 6,need,budget,honor
Word 7,senat,read,proud
Word 8,talk,cut,year
Word 9,join,must,congrat
Word 10,watch,health,amp
Word 11,live,help,good
Word 12,vt,romney,vote
Word 13,sander,call,th
Word 14,news,today,presid
Word 15,bill,million,famili
Word 16,act,american,obama
Word 17,economi,offic,win
Word 18,energi,plan,work
Word 19,busi,report,happi
NumTweet,4415,3935,4734
D,2594,1963,2368
R,1821,1972,2366
D%,58.8,49.9,50.0
R%,41.2,50.1,50.0
PolarityMean,0.09287971767232775,0.06974758048201503,0.20010188301934048
